Date : 2026-08-20 13:23:55
Directory : /home/MictDev/Projects/Capacitaciones-mh
Total : 298 files,  85558 codes, 5391 comments, 9726 blanks, all 100675 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Go                 |        123 |     40,130 |      3,670 |      5,415 |     49,215 |
| vue                |         71 |     29,892 |        448 |      3,211 |     33,551 |
| JSON               |          7 |      8,173 |          0 |         10 |      8,183 |
| TypeScript         |         34 |      2,851 |        550 |        497 |      3,898 |
| PostCSS            |          2 |      1,017 |        150 |        114 |      1,281 |
| Go Checksum File   |         11 |        832 |          0 |         11 |        843 |
| Python             |          2 |        818 |          0 |         10 |        828 |
| MS SQL             |          5 |        384 |        268 |        137 |        789 |
| YAML               |          4 |        364 |        114 |         40 |        518 |
| Go Module File     |         13 |        304 |          2 |         62 |        368 |
| Markdown           |          2 |        243 |          0 |         64 |        307 |
| Docker             |         11 |        197 |         67 |         82 |        346 |
| Shell Script       |          2 |        113 |         49 |         26 |        188 |
| Properties         |          2 |         74 |          5 |         16 |         95 |
| Makefile           |          1 |         71 |         42 |         18 |        131 |
| JavaScript         |          2 |         31 |         23 |          2 |         56 |
| Go Work File       |          1 |         16 |          2 |          2 |         20 |
| HTML               |          1 |         16 |          0 |          1 |         17 |
| Ignore             |          1 |         11 |          0 |          4 |         15 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
| Dotenv             |          1 |          9 |          1 |          2 |         12 |
| XML                |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        298 |     85,558 |      5,391 |      9,726 |    100,675 |
| . (Files)                                                                                                |         15 |      1,875 |        216 |        201 |      2,292 |
| .github                                                                                                  |          1 |         52 |          9 |         13 |         74 |
| .github/workflows                                                                                        |          1 |         52 |          9 |         13 |         74 |
| frontend                                                                                                 |        120 |     42,020 |      1,178 |      3,874 |     47,072 |
| frontend (Files)                                                                                         |         15 |      8,307 |         33 |         60 |      8,400 |
| frontend/src                                                                                             |        105 |     33,713 |      1,145 |      3,814 |     38,672 |
| frontend/src (Files)                                                                                     |          3 |         89 |          5 |         18 |        112 |
| frontend/src/assets                                                                                      |          3 |      1,018 |        150 |        115 |      1,283 |
| frontend/src/components                                                                                  |         35 |      9,683 |        216 |        998 |     10,897 |
| frontend/src/components (Files)                                                                          |         28 |      8,895 |        208 |        904 |     10,007 |
| frontend/src/components/icons                                                                            |          5 |         46 |          0 |          5 |         51 |
| frontend/src/components/store                                                                            |          2 |        742 |          8 |         89 |        839 |
| frontend/src/composables                                                                                 |         13 |      1,269 |        302 |        239 |      1,810 |
| frontend/src/router                                                                                      |          1 |        102 |         21 |          7 |        130 |
| frontend/src/stores                                                                                      |          8 |        753 |        107 |        165 |      1,025 |
| frontend/src/utils                                                                                       |          6 |        556 |         90 |         44 |        690 |
| frontend/src/views                                                                                       |         36 |     20,243 |        254 |      2,228 |     22,725 |
| frontend/src/views (Files)                                                                               |          8 |      2,597 |         37 |        295 |      2,929 |
| frontend/src/views/admin                                                                                 |          5 |      1,522 |          3 |        142 |      1,667 |
| frontend/src/views/instructor                                                                            |          7 |      2,708 |         13 |        273 |      2,994 |
| frontend/src/views/shared                                                                                |          6 |      4,510 |         77 |        538 |      5,125 |
| frontend/src/views/user                                                                                  |         10 |      8,906 |        124 |        980 |     10,010 |
| gateway                                                                                                  |         29 |      6,492 |      1,105 |        837 |      8,434 |
| gateway (Files)                                                                                          |          3 |        244 |         11 |         24 |        279 |
| gateway/cmd                                                                                              |          1 |         94 |         14 |         18 |        126 |
| gateway/cmd/server                                                                                       |          1 |         94 |         14 |         18 |        126 |
| gateway/internal                                                                                         |         25 |      6,154 |      1,080 |        795 |      8,029 |
| gateway/internal/clients                                                                                 |          1 |         53 |          7 |          8 |         68 |
| gateway/internal/config                                                                                  |          1 |        148 |         35 |         28 |        211 |
| gateway/internal/handler                                                                                 |         15 |      4,453 |        763 |        518 |      5,734 |
| gateway/internal/hub                                                                                     |          3 |        828 |        135 |        126 |      1,089 |
| gateway/internal/middleware                                                                              |          2 |        223 |         18 |         32 |        273 |
| gateway/internal/pdf                                                                                     |          1 |         68 |         47 |         13 |        128 |
| gateway/internal/router                                                                                  |          1 |        222 |         55 |         49 |        326 |
| gateway/internal/storage                                                                                 |          1 |        159 |         20 |         21 |        200 |
