Date : 2026-08-20 13:23:55
Directory : /home/MictDev/Projects/Capacitaciones-mh
Total : 298 files,  85558 codes, 5391 comments, 9726 blanks, all 100675 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| gen                                                                                                      |         16 |     19,056 |        803 |      2,468 |     22,327 |
| gen (Files)                                                                                              |          2 |         44 |          2 |          6 |         52 |
| gen/auth                                                                                                 |          2 |      1,141 |         88 |        155 |      1,384 |
| gen/cursos                                                                                               |          2 |      7,169 |        268 |        883 |      8,320 |
| gen/examenes                                                                                             |          2 |      1,657 |         70 |        226 |      1,953 |
| gen/foros                                                                                                |          2 |      1,240 |         72 |        174 |      1,486 |
| gen/lecciones                                                                                            |          2 |      4,316 |        137 |        555 |      5,008 |
| gen/mensajes                                                                                             |          2 |      1,624 |         58 |        224 |      1,906 |
| gen/usuarios                                                                                             |          2 |      1,865 |        108 |        245 |      2,218 |
| gotenberg                                                                                                |          2 |         46 |         44 |         12 |        102 |
| internal                                                                                                 |         30 |      4,341 |        201 |        619 |      5,161 |
| internal/cache                                                                                           |          1 |         11 |          3 |          5 |         19 |
| internal/config                                                                                          |          1 |         97 |         35 |         30 |        162 |
| internal/db                                                                                              |          2 |        377 |          5 |         58 |        440 |
| internal/handlers                                                                                        |         18 |      3,058 |         65 |        382 |      3,505 |
| internal/middleware                                                                                      |          3 |        275 |         14 |         51 |        340 |
| internal/models                                                                                          |          1 |        137 |          0 |         16 |        153 |
| internal/repository                                                                                      |          1 |         64 |         16 |         13 |         93 |
| internal/sanitize                                                                                        |          1 |         10 |         10 |          6 |         26 |
| internal/service                                                                                         |          1 |         86 |         26 |         23 |        135 |
| internal/storage                                                                                         |          1 |        226 |         27 |         35 |        288 |
| migrations                                                                                               |          4 |        301 |        230 |         96 |        627 |
| pkg                                                                                                      |         11 |      1,305 |        313 |        213 |      1,831 |
| pkg/dc3                                                                                                  |          4 |        422 |        147 |         66 |        635 |
| pkg/mailer                                                                                               |          4 |        613 |        100 |        100 |        813 |
| pkg/money                                                                                                |          3 |        270 |         66 |         47 |        383 |
| scratch                                                                                                  |          3 |        205 |          0 |          7 |        212 |
| scripts                                                                                                  |          2 |        113 |         49 |         26 |        188 |
| services                                                                                                 |         65 |      9,752 |      1,243 |      1,360 |     12,355 |
| services/auth                                                                                            |          9 |      1,013 |        140 |        176 |      1,329 |
| services/auth (Files)                                                                                    |          3 |        115 |          3 |         17 |        135 |
| services/auth/cmd                                                                                        |          1 |        135 |         17 |         20 |        172 |
| services/auth/cmd/server                                                                                 |          1 |        135 |         17 |         20 |        172 |
| services/auth/internal                                                                                   |          5 |        763 |        120 |        139 |      1,022 |
| services/auth/internal/config                                                                            |          1 |         93 |         19 |         22 |        134 |
| services/auth/internal/handler                                                                           |          1 |        140 |         14 |         20 |        174 |
| services/auth/internal/model                                                                             |          1 |         19 |          4 |          4 |         27 |
| services/auth/internal/repository                                                                        |          1 |        129 |         19 |         23 |        171 |
| services/auth/internal/service                                                                           |          1 |        382 |         64 |         70 |        516 |
| services/cursos                                                                                          |         15 |      3,778 |        607 |        488 |      4,873 |
| services/cursos (Files)                                                                                  |          3 |        112 |          2 |         13 |        127 |
| services/cursos/cmd                                                                                      |          1 |        266 |         66 |         21 |        353 |
| services/cursos/cmd/server                                                                               |          1 |        266 |         66 |         21 |        353 |
| services/cursos/internal                                                                                 |         11 |      3,400 |        539 |        454 |      4,393 |
| services/cursos/internal/handler                                                                         |          3 |        481 |         39 |         79 |        599 |
| services/cursos/internal/repository                                                                      |          4 |      1,565 |        253 |        193 |      2,011 |
| services/cursos/internal/service                                                                         |          4 |      1,354 |        247 |        182 |      1,783 |
| services/examenes                                                                                        |          7 |        736 |         16 |        101 |        853 |
| services/examenes (Files)                                                                                |          3 |        104 |          0 |         12 |        116 |
| services/examenes/cmd                                                                                    |          1 |        107 |          2 |         12 |        121 |
| services/examenes/cmd/server                                                                             |          1 |        107 |          2 |         12 |        121 |
| services/examenes/internal                                                                               |          3 |        525 |         14 |         77 |        616 |
| services/examenes/internal/handler                                                                       |          1 |        105 |          3 |         21 |        129 |
| services/examenes/internal/repository                                                                    |          1 |        284 |          7 |         36 |        327 |
| services/examenes/internal/service                                                                       |          1 |        136 |          4 |         20 |        160 |
| services/foros                                                                                           |          7 |        636 |         18 |         76 |        730 |
| services/foros (Files)                                                                                   |          3 |        104 |          0 |         12 |        116 |
| services/foros/cmd                                                                                       |          1 |        121 |          7 |         12 |        140 |
| services/foros/cmd/server                                                                                |          1 |        121 |          7 |         12 |        140 |
| services/foros/internal                                                                                  |          3 |        411 |         11 |         52 |        474 |
| services/foros/internal/handler                                                                          |          1 |         79 |          1 |         14 |         94 |
| services/foros/internal/repository                                                                       |          1 |        275 |         10 |         26 |        311 |
| services/foros/internal/service                                                                          |          1 |         57 |          0 |         12 |         69 |
| services/lecciones                                                                                       |         12 |      2,082 |        332 |        310 |      2,724 |
| services/lecciones (Files)                                                                               |          3 |        104 |          0 |         12 |        116 |
| services/lecciones/cmd                                                                                   |          1 |        198 |         16 |         27 |        241 |
| services/lecciones/cmd/server                                                                            |          1 |        198 |         16 |         27 |        241 |
| services/lecciones/internal                                                                              |          8 |      1,780 |        316 |        271 |      2,367 |
| services/lecciones/internal/badges                                                                       |          1 |        169 |         28 |         23 |        220 |
| services/lecciones/internal/gameschemas                                                                  |          1 |         49 |        127 |         11 |        187 |
| services/lecciones/internal/handler                                                                      |          1 |        228 |         10 |         43 |        281 |
| services/lecciones/internal/repository                                                                   |          2 |        842 |         67 |        107 |      1,016 |
| services/lecciones/internal/service                                                                      |          3 |        492 |         84 |         87 |        663 |
| services/mensajes                                                                                        |          8 |        838 |         77 |        116 |      1,031 |
| services/mensajes (Files)                                                                                |          3 |        104 |          0 |         12 |        116 |
| services/mensajes/cmd                                                                                    |          1 |        105 |          4 |         12 |        121 |
| services/mensajes/cmd/server                                                                             |          1 |        105 |          4 |         12 |        121 |
| services/mensajes/internal                                                                               |          4 |        629 |         73 |         92 |        794 |
| services/mensajes/internal/handler                                                                       |          1 |         81 |          0 |         17 |         98 |
| services/mensajes/internal/repository                                                                    |          2 |        319 |         47 |         44 |        410 |
| services/mensajes/internal/service                                                                       |          1 |        229 |         26 |         31 |        286 |
| services/usuarios                                                                                        |          7 |        669 |         53 |         93 |        815 |
| services/usuarios (Files)                                                                                |          3 |        104 |          0 |         12 |        116 |
| services/usuarios/cmd                                                                                    |          1 |         96 |          3 |         13 |        112 |
| services/usuarios/cmd/server                                                                             |          1 |         96 |          3 |         13 |        112 |
| services/usuarios/internal                                                                               |          3 |        469 |         50 |         68 |        587 |
| services/usuarios/internal/handler                                                                       |          1 |        114 |          8 |         18 |        140 |
| services/usuarios/internal/repository                                                                    |          1 |        235 |         26 |         29 |        290 |
| services/usuarios/internal/service                                                                       |          1 |        120 |         16 |         21 |        157 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/MictDev/Projects/Capacitaciones-mh/.dockerignore                                                   | Ignore             |         11 |          0 |          4 |         15 |
| /home/MictDev/Projects/Capacitaciones-mh/.env                                                            | Dotenv             |          9 |          1 |          2 |         12 |
| /home/MictDev/Projects/Capacitaciones-mh/.github/workflows/ci.yml                                        | YAML               |         52 |          9 |         13 |         74 |
| /home/MictDev/Projects/Capacitaciones-mh/Dockerfile                                                      | Docker             |         25 |          5 |         12 |         42 |
| /home/MictDev/Projects/Capacitaciones-mh/MIGRACION-RESEND.md                                             | Markdown           |         92 |          0 |         37 |        129 |
| /home/MictDev/Projects/Capacitaciones-mh/Makefile                                                        | Makefile           |         71 |         42 |         18 |        131 |
| /home/MictDev/Projects/Capacitaciones-mh/buf.gen.yaml                                                    | YAML               |         10 |          0 |          1 |         11 |
| /home/MictDev/Projects/Capacitaciones-mh/buf.yaml                                                        | YAML               |          9 |          0 |          1 |         10 |
| /home/MictDev/Projects/Capacitaciones-mh/docker-compose.yml                                              | YAML               |        293 |        105 |         25 |        423 |
| /home/MictDev/Projects/Capacitaciones-mh/fix_encoding.py                                                 | Python             |         28 |          0 |          4 |         32 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/.oxlintrc.json                                         | JSON               |         10 |          0 |          1 |         11 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/Dockerfile                                             | Docker             |         11 |          2 |          2 |         15 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/RESPONSIVE.md                                          | Markdown           |        151 |          0 |         27 |        178 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/env.d.ts                                               | TypeScript         |          0 |          1 |          1 |          2 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/eslint.config.ts                                       | TypeScript         |         21 |          2 |          6 |         29 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/index.html                                             | HTML               |         16 |          0 |          1 |         17 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/nginx.conf                                             | Properties         |         44 |          5 |         10 |         59 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/package-lock.json                                      | JSON               |      7,895 |          0 |          1 |      7,896 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/package.json                                           | JSON               |         61 |          0 |          1 |         62 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/postcss.config.js                                      | JavaScript         |          6 |          0 |          1 |          7 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/App.vue                                            | vue                |         39 |          2 |          5 |         46 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/api.ts                                             | TypeScript         |         17 |          0 |          4 |         21 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/assets/base.css                                    | PostCSS            |         82 |          0 |         17 |         99 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/assets/logo.svg                                    | XML                |          1 |          0 |          1 |          2 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/assets/main.css                                    | PostCSS            |        935 |        150 |         97 |      1,182 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/AppSidebar.vue                          | vue                |        208 |          0 |         29 |        237 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CameraCapture.vue                       | vue                |        245 |          4 |         35 |        284 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CartDrawer.vue                          | vue                |        479 |         13 |         52 |        544 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/ContentTypeSelector.vue                 | vue                |        186 |          0 |          5 |        191 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseCard.vue                          | vue                |        127 |          0 |         19 |        146 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseEditorDrawer.vue                  | vue                |        287 |         17 |         32 |        336 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseSidebar.vue                       | vue                |        324 |          6 |         30 |        360 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseTreeEditor.vue                    | vue                |      1,172 |         18 |        129 |      1,319 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseWizardModal.vue                   | vue                |        255 |          0 |         21 |        276 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CreateGroupModal.vue                    | vue                |        199 |          1 |         21 |        221 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DC3EmpresaInstructor.vue                | vue                |        236 |         11 |         33 |        280 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DC3Modal.vue                            | vue                |        121 |          9 |         16 |        146 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DC3Panel.test.ts                        | TypeScript         |         73 |         24 |         20 |        117 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DC3Panel.vue                            | vue                |        490 |         41 |         50 |        581 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DashboardCharts.vue                     | vue                |        183 |          0 |         15 |        198 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DragDropUpload.vue                      | vue                |        265 |          0 |         40 |        305 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/EmptyState.vue                          | vue                |         52 |          0 |          4 |         56 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/GameConfigEditor.vue                    | vue                |        610 |         10 |         52 |        672 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/GradientPicker.vue                      | vue                |         86 |          0 |          7 |         93 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/HelloWorld.vue                          | vue                |         36 |          0 |          6 |         42 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/InteractiveActivity.vue                 | vue                |      1,862 |         39 |        116 |      2,017 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/LlamadaTimbrando.vue                    | vue                |        210 |          0 |         25 |        235 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/NotificationBell.vue                    | vue                |        349 |          5 |         55 |        409 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/SearchUserModal.vue                     | vue                |        132 |          0 |         17 |        149 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/TheWelcome.vue                          | vue                |         82 |          0 |         14 |         96 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/VideoCallModal.vue                      | vue                |        197 |          0 |         21 |        218 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/VideoPlayer.vue                         | vue                |        353 |         10 |         29 |        392 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/WelcomeItem.vue                         | vue                |         76 |          0 |         11 |         87 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconCommunity.vue                 | vue                |          7 |          0 |          1 |          8 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconDocumentation.vue             | vue                |          7 |          0 |          1 |          8 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconEcosystem.vue                 | vue                |          7 |          0 |          1 |          8 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconSupport.vue                   | vue                |          7 |          0 |          1 |          8 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconTooling.vue                   | vue                |         18 |          0 |          1 |         19 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/store/CourseCarousel.vue                | vue                |        392 |          7 |         51 |        450 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/store/CourseTile.vue                    | vue                |        350 |          1 |         38 |        389 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/escena.test.ts                         | TypeScript         |        133 |          8 |         20 |        161 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/escena.ts                              | TypeScript         |        116 |         39 |         21 |        176 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/notificaciones.test.ts                 | TypeScript         |         89 |         12 |         17 |        118 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/notificaciones.ts                      | TypeScript         |         39 |         42 |         12 |         93 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/progresion.test.ts                     | TypeScript         |        147 |          9 |         22 |        178 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/progresion.ts                          | TypeScript         |         90 |         49 |         13 |        152 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useLlamadas.test.ts                    | TypeScript         |        170 |          4 |         28 |        202 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useLlamadas.ts                         | TypeScript         |        156 |         38 |         29 |        223 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useReveal.test.ts                      | TypeScript         |         84 |          9 |         18 |        111 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useReveal.ts                           | TypeScript         |        107 |         36 |         25 |        168 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useScrollLock.test.ts                  | TypeScript         |         75 |         30 |         20 |        125 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useScrollLock.ts                       | TypeScript         |         16 |         13 |          6 |         35 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useTheme.ts                            | TypeScript         |         47 |         13 |          8 |         68 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/main.ts                                            | TypeScript         |         33 |          3 |          9 |         45 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/router/index.ts                                    | TypeScript         |        102 |         21 |          7 |        130 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/auth.test.ts                                | TypeScript         |        152 |          6 |         40 |        198 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/auth.ts                                     | TypeScript         |         98 |         15 |         12 |        125 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/cart.test.ts                                | TypeScript         |        136 |         12 |         47 |        195 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/cart.ts                                     | TypeScript         |        120 |         37 |         21 |        178 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/counter.ts                                  | TypeScript         |         10 |          0 |          3 |         13 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/dc3.ts                                      | TypeScript         |         17 |         18 |          5 |         40 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/suscripcion.test.ts                         | TypeScript         |        110 |          4 |         23 |        137 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/suscripcion.ts                              | TypeScript         |        110 |         15 |         14 |        139 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/avatars.ts                                   | TypeScript         |        235 |         10 |          6 |        251 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/dc3.test.ts                                  | TypeScript         |         71 |         20 |         12 |        103 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/dc3.ts                                       | TypeScript         |         74 |         55 |          9 |        138 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/recaptcha.ts                                 | TypeScript         |         27 |          0 |          4 |         31 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/toast.ts                                     | TypeScript         |        133 |          0 |          8 |        141 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/upload.ts                                    | TypeScript         |         16 |          5 |          5 |         26 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/AboutView.vue                                | vue                |         14 |          0 |          2 |         16 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/CheckoutSuccessView.vue                      | vue                |        233 |          5 |         29 |        267 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/CursoPublicView.vue                          | vue                |      1,125 |         21 |        146 |      1,292 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/HomeView.vue                                 | vue                |          8 |          0 |          2 |         10 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/LoginView.vue                                | vue                |        522 |          0 |         42 |        564 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/ResetPasswordView.vue                        | vue                |        233 |          6 |         24 |        263 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/UnirseView.vue                               | vue                |        143 |          0 |         15 |        158 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/VerifyEmailView.vue                          | vue                |        319 |          5 |         35 |        359 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/AdminDashboard.vue                     | vue                |        209 |          0 |         21 |        230 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/AdminLayout.vue                        | vue                |        136 |          3 |         11 |        150 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/CapacitacionesView.vue                 | vue                |        599 |          0 |         52 |        651 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/ExamenesView.vue                       | vue                |        292 |          0 |         29 |        321 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/UsuariosView.vue                       | vue                |        286 |          0 |         29 |        315 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/CapacitacionesInstructor.vue      | vue                |        622 |          1 |         73 |        696 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/EntregasView.vue                  | vue                |        473 |          3 |         62 |        538 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/EstudiantesView.vue               | vue                |        280 |          0 |         19 |        299 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/ExamenesInstructor.vue            | vue                |        714 |          1 |         65 |        780 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorDashboard.vue           | vue                |        214 |          0 |         22 |        236 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorLayout.vue              | vue                |        148 |          3 |         11 |        162 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorPerfilView.vue          | vue                |        257 |          5 |         21 |        283 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/ComoFuncionaView.vue                  | vue                |        746 |         12 |        104 |        862 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/MensajesView.vue                      | vue                |      1,169 |         30 |        105 |      1,304 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/PlanesView.vue                        | vue                |        476 |          3 |         36 |        515 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/PublicProfileView.vue                 | vue                |        299 |          0 |         38 |        337 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/StoreView.vue                         | vue                |      1,581 |         25 |        221 |      1,827 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/VerificarConstancia.vue               | vue                |        239 |          7 |         34 |        280 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/DashboardView.vue                       | vue                |        487 |          4 |         38 |        529 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/ExamenFormView.vue                      | vue                |        482 |         11 |         29 |        522 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisCapacitaciones.vue                   | vue                |      1,021 |          2 |         96 |      1,119 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisConstancias.vue                      | vue                |        173 |          1 |         24 |        198 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisExamenes.vue                         | vue                |        410 |         12 |         37 |        459 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisLicencias.vue                        | vue                |        963 |         10 |        141 |      1,114 |
