Date : 2026-08-13 10:55:40
Directory : /home/MictDev/Projects/Capacitaciones-mh
Total : 266 files,  77990 codes, 3447 comments, 8660 blanks, all 90097 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| services/auth/internal/repository                                                                        |          1 |        129 |         19 |         23 |        171 |
| services/auth/internal/service                                                                           |          1 |        382 |         64 |         70 |        516 |
| services/cursos                                                                                          |         11 |      3,118 |        326 |        401 |      3,845 |
| services/cursos (Files)                                                                                  |          3 |        118 |          2 |         13 |        133 |
| services/cursos/cmd                                                                                      |          1 |        220 |         14 |         16 |        250 |
| services/cursos/cmd/server                                                                               |          1 |        220 |         14 |         16 |        250 |
| services/cursos/internal                                                                                 |          7 |      2,780 |        310 |        372 |      3,462 |
| services/cursos/internal/handler                                                                         |          2 |        412 |         25 |         67 |        504 |
| services/cursos/internal/repository                                                                      |          3 |      1,298 |        164 |        167 |      1,629 |
| services/cursos/internal/service                                                                         |          2 |      1,070 |        121 |        138 |      1,329 |
| services/examenes                                                                                        |          7 |        736 |         16 |        101 |        853 |
| services/examenes (Files)                                                                                |          3 |        104 |          0 |         12 |        116 |
| services/examenes/cmd                                                                                    |          1 |        107 |          2 |         12 |        121 |
| services/examenes/cmd/server                                                                             |          1 |        107 |          2 |         12 |        121 |
| services/examenes/internal                                                                               |          3 |        525 |         14 |         77 |        616 |
| services/examenes/internal/handler                                                                       |          1 |        105 |          3 |         21 |        129 |
| services/examenes/internal/repository                                                                    |          1 |        284 |          7 |         36 |        327 |
| services/examenes/internal/service                                                                       |          1 |        136 |          4 |         20 |        160 |
| services/foros                                                                                           |          7 |        608 |          5 |         74 |        687 |
| services/foros (Files)                                                                                   |          3 |        104 |          0 |         12 |        116 |
| services/foros/cmd                                                                                       |          1 |        119 |          2 |         12 |        133 |
| services/foros/cmd/server                                                                                |          1 |        119 |          2 |         12 |        133 |
| services/foros/internal                                                                                  |          3 |        385 |          3 |         50 |        438 |
| services/foros/internal/handler                                                                          |          1 |         79 |          1 |         14 |         94 |
| services/foros/internal/repository                                                                       |          1 |        249 |          2 |         24 |        275 |
| services/foros/internal/service                                                                          |          1 |         57 |          0 |         12 |         69 |
| services/lecciones                                                                                       |         12 |      2,082 |        332 |        310 |      2,724 |
| services/lecciones (Files)                                                                               |          3 |        104 |          0 |         12 |        116 |
| services/lecciones/cmd                                                                                   |          1 |        198 |         16 |         27 |        241 |
| services/lecciones/cmd/server                                                                            |          1 |        198 |         16 |         27 |        241 |
| services/lecciones/internal                                                                              |          8 |      1,780 |        316 |        271 |      2,367 |
| services/lecciones/internal/badges                                                                       |          1 |        169 |         28 |         23 |        220 |
| services/lecciones/internal/gameschemas                                                                  |          1 |         49 |        127 |         11 |        187 |
| services/lecciones/internal/handler                                                                      |          1 |        228 |         10 |         43 |        281 |
| services/lecciones/internal/repository                                                                   |          2 |        842 |         67 |        107 |      1,016 |
| services/lecciones/internal/service                                                                      |          3 |        492 |         84 |         87 |        663 |
| services/mensajes                                                                                        |          8 |        838 |         77 |        116 |      1,031 |
| services/mensajes (Files)                                                                                |          3 |        104 |          0 |         12 |        116 |
| services/mensajes/cmd                                                                                    |          1 |        105 |          4 |         12 |        121 |
| services/mensajes/cmd/server                                                                             |          1 |        105 |          4 |         12 |        121 |
| services/mensajes/internal                                                                               |          4 |        629 |         73 |         92 |        794 |
| services/mensajes/internal/handler                                                                       |          1 |         81 |          0 |         17 |         98 |
| services/mensajes/internal/repository                                                                    |          2 |        319 |         47 |         44 |        410 |
| services/mensajes/internal/service                                                                       |          1 |        229 |         26 |         31 |        286 |
| services/usuarios                                                                                        |          7 |        608 |         28 |         87 |        723 |
| services/usuarios (Files)                                                                                |          3 |        104 |          0 |         12 |        116 |
| services/usuarios/cmd                                                                                    |          1 |         96 |          3 |         13 |        112 |
| services/usuarios/cmd/server                                                                             |          1 |         96 |          3 |         13 |        112 |
| services/usuarios/internal                                                                               |          3 |        408 |         25 |         62 |        495 |
| services/usuarios/internal/handler                                                                       |          1 |        108 |          5 |         18 |        131 |
| services/usuarios/internal/repository                                                                    |          1 |        205 |         17 |         26 |        248 |
| services/usuarios/internal/service                                                                       |          1 |         95 |          3 |         18 |        116 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                 | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/MictDev/Projects/Capacitaciones-mh/.dockerignore                                                   | Ignore             |         11 |          0 |          4 |         15 |
| /home/MictDev/Projects/Capacitaciones-mh/.env                                                            | Dotenv             |          9 |          1 |          2 |         12 |
| /home/MictDev/Projects/Capacitaciones-mh/.github/workflows/ci.yml                                        | YAML               |         41 |          2 |         11 |         54 |
| /home/MictDev/Projects/Capacitaciones-mh/Dockerfile                                                      | Docker             |         25 |          5 |         12 |         42 |
| /home/MictDev/Projects/Capacitaciones-mh/MIGRACION-RESEND.md                                             | Markdown           |         92 |          0 |         37 |        129 |
| /home/MictDev/Projects/Capacitaciones-mh/Makefile                                                        | Makefile           |         62 |         40 |         17 |        119 |
| /home/MictDev/Projects/Capacitaciones-mh/buf.gen.yaml                                                    | YAML               |         10 |          0 |          1 |         11 |
| /home/MictDev/Projects/Capacitaciones-mh/buf.yaml                                                        | YAML               |          9 |          0 |          1 |         10 |
| /home/MictDev/Projects/Capacitaciones-mh/docker-compose.yml                                              | YAML               |        191 |         41 |         18 |        250 |
| /home/MictDev/Projects/Capacitaciones-mh/fix_encoding.py                                                 | Python             |         28 |          0 |          4 |         32 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/.oxlintrc.json                                         | JSON               |         10 |          0 |          1 |         11 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/Dockerfile                                             | Docker             |         11 |          2 |          2 |         15 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/env.d.ts                                               | TypeScript         |          0 |          1 |          1 |          2 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/eslint.config.ts                                       | TypeScript         |         21 |          2 |          6 |         29 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/index.html                                             | HTML               |         16 |          0 |          1 |         17 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/nginx.conf                                             | Properties         |         44 |          5 |         10 |         59 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/package-lock.json                                      | JSON               |      7,895 |          0 |          1 |      7,896 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/package.json                                           | JSON               |         61 |          0 |          1 |         62 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/postcss.config.js                                      | JavaScript         |          6 |          0 |          1 |          7 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/App.vue                                            | vue                |         37 |          0 |          5 |         42 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/api.ts                                             | TypeScript         |         17 |          0 |          4 |         21 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/assets/base.css                                    | PostCSS            |         82 |          0 |         17 |         99 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/assets/logo.svg                                    | XML                |          1 |          0 |          1 |          2 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/assets/main.css                                    | PostCSS            |        830 |         14 |         76 |        920 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/AppSidebar.vue                          | vue                |        202 |          0 |         29 |        231 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CameraCapture.vue                       | vue                |        245 |          4 |         35 |        284 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CartDrawer.vue                          | vue                |        478 |         13 |         51 |        542 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/ContentTypeSelector.vue                 | vue                |        186 |          0 |          5 |        191 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseCard.vue                          | vue                |        127 |          0 |         19 |        146 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseEditorDrawer.vue                  | vue                |        161 |          0 |         21 |        182 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseSidebar.vue                       | vue                |        324 |          6 |         30 |        360 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseTreeEditor.vue                    | vue                |      1,172 |         18 |        129 |      1,319 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CourseWizardModal.vue                   | vue                |        252 |          0 |         21 |        273 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/CreateGroupModal.vue                    | vue                |        194 |          1 |         20 |        215 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DashboardCharts.vue                     | vue                |        183 |          0 |         15 |        198 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/DragDropUpload.vue                      | vue                |        265 |          0 |         40 |        305 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/EmptyState.vue                          | vue                |         52 |          0 |          4 |         56 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/GameConfigEditor.vue                    | vue                |        610 |         10 |         52 |        672 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/GradientPicker.vue                      | vue                |         86 |          0 |          7 |         93 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/HelloWorld.vue                          | vue                |         36 |          0 |          6 |         42 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/InteractiveActivity.vue                 | vue                |      1,862 |         39 |        116 |      2,017 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/NotificationBell.vue                    | vue                |        292 |          0 |         42 |        334 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/SearchUserModal.vue                     | vue                |        127 |          0 |         16 |        143 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/TheWelcome.vue                          | vue                |         82 |          0 |         14 |         96 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/VideoCallModal.vue                      | vue                |        138 |          0 |         21 |        159 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/VideoPlayer.vue                         | vue                |        315 |         10 |         28 |        353 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/WelcomeItem.vue                         | vue                |         76 |          0 |         11 |         87 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconCommunity.vue                 | vue                |          7 |          0 |          1 |          8 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconDocumentation.vue             | vue                |          7 |          0 |          1 |          8 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconEcosystem.vue                 | vue                |          7 |          0 |          1 |          8 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconSupport.vue                   | vue                |          7 |          0 |          1 |          8 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/icons/IconTooling.vue                   | vue                |         18 |          0 |          1 |         19 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/store/CourseCarousel.vue                | vue                |        392 |          7 |         51 |        450 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/components/store/CourseTile.vue                    | vue                |        350 |          1 |         38 |        389 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/escena.test.ts                         | TypeScript         |        133 |          8 |         20 |        161 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/escena.ts                              | TypeScript         |        116 |         39 |         21 |        176 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/progresion.test.ts                     | TypeScript         |        147 |          9 |         22 |        178 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/progresion.ts                          | TypeScript         |         90 |         49 |         13 |        152 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useReveal.test.ts                      | TypeScript         |         84 |          9 |         18 |        111 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useReveal.ts                           | TypeScript         |        107 |         36 |         25 |        168 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/composables/useTheme.ts                            | TypeScript         |         34 |          0 |          6 |         40 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/main.ts                                            | TypeScript         |         33 |          3 |          9 |         45 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/router/index.ts                                    | TypeScript         |         99 |         18 |          7 |        124 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/auth.test.ts                                | TypeScript         |        152 |          6 |         40 |        198 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/auth.ts                                     | TypeScript         |         98 |         15 |         12 |        125 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/cart.test.ts                                | TypeScript         |        136 |         12 |         47 |        195 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/cart.ts                                     | TypeScript         |        120 |         37 |         21 |        178 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/counter.ts                                  | TypeScript         |         10 |          0 |          3 |         13 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/suscripcion.test.ts                         | TypeScript         |        110 |          4 |         23 |        137 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/suscripcion.ts                              | TypeScript         |        110 |         15 |         14 |        139 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/avatars.ts                                   | TypeScript         |        235 |         10 |          6 |        251 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/recaptcha.ts                                 | TypeScript         |         27 |          0 |          4 |         31 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/toast.ts                                     | TypeScript         |        133 |          0 |          8 |        141 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/upload.ts                                    | TypeScript         |         16 |          5 |          5 |         26 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/AboutView.vue                                | vue                |         14 |          0 |          2 |         16 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/CheckoutSuccessView.vue                      | vue                |        207 |          4 |         28 |        239 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/CursoPublicView.vue                          | vue                |      1,094 |         21 |        141 |      1,256 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/HomeView.vue                                 | vue                |          8 |          0 |          2 |         10 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/LoginView.vue                                | vue                |        507 |          0 |         42 |        549 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/ResetPasswordView.vue                        | vue                |        233 |          6 |         24 |        263 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/UnirseView.vue                               | vue                |        143 |          0 |         15 |        158 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/VerifyEmailView.vue                          | vue                |        319 |          5 |         35 |        359 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/AdminDashboard.vue                     | vue                |        209 |          0 |         21 |        230 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/AdminLayout.vue                        | vue                |        133 |          3 |         11 |        147 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/CapacitacionesView.vue                 | vue                |        599 |          0 |         52 |        651 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/ExamenesView.vue                       | vue                |        292 |          0 |         29 |        321 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/UsuariosView.vue                       | vue                |        286 |          0 |         29 |        315 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/CapacitacionesInstructor.vue      | vue                |        622 |          1 |         73 |        696 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/EntregasView.vue                  | vue                |        476 |          3 |         64 |        543 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/EstudiantesView.vue               | vue                |        267 |          0 |         19 |        286 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/ExamenesInstructor.vue            | vue                |        710 |          1 |         65 |        776 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorDashboard.vue           | vue                |        213 |          0 |         22 |        235 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorLayout.vue              | vue                |        145 |          3 |         11 |        159 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/instructor/InstructorPerfilView.vue          | vue                |        255 |          0 |         20 |        275 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/ComoFuncionaView.vue                  | vue                |        746 |         12 |        104 |        862 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/MensajesView.vue                      | vue                |      1,143 |         23 |        104 |      1,270 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/PlanesView.vue                        | vue                |        476 |          3 |         36 |        515 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/PublicProfileView.vue                 | vue                |        299 |          0 |         38 |        337 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/shared/StoreView.vue                         | vue                |      1,548 |         25 |        223 |      1,796 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/DashboardView.vue                       | vue                |        487 |          4 |         38 |        529 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/ExamenFormView.vue                      | vue                |        482 |         11 |         29 |        522 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisCapacitaciones.vue                   | vue                |      1,026 |          2 |         99 |      1,127 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisExamenes.vue                         | vue                |        400 |         12 |         37 |        449 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/MisLicencias.vue                        | vue                |        739 |          4 |         89 |        832 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/PerfilView.vue                          | vue                |        518 |          9 |         39 |        566 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/ResponderExamen.vue                     | vue                |        207 |          4 |         20 |        231 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/UserLayout.vue                          | vue                |        198 |          3 |         13 |        214 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/user/VerCapacitacion.vue                     | vue                |      4,435 |         51 |        538 |      5,024 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/tailwind.config.js                                     | JavaScript         |         17 |          1 |          1 |         19 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/tsconfig.app.json                                      | JSON               |         12 |          0 |          2 |         14 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/tsconfig.json                                          | JSON with Comments |         11 |          0 |          1 |         12 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/tsconfig.node.json                                     | JSON               |         17 |          0 |          3 |         20 |
| /home/MictDev/Projects/Capacitaciones-mh/frontend/vite.config.ts                                         | TypeScript         |         27 |          0 |          2 |         29 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/Dockerfile                                              | Docker             |         27 |          6 |         16 |         49 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/cmd/server/main.go                                      | Go                 |         88 |          9 |         16 |        113 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/go.mod                                                  | Go Module File     |         58 |          0 |          6 |         64 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/go.sum                                                  | Go Checksum File   |        148 |          0 |          1 |        149 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/internal/clients/clients.go                             | Go                 |         53 |          7 |          8 |         68 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/internal/config/config.go                               | Go                 |        129 |         22 |         25 |        176 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/auth.go                                | Go                 |        209 |         21 |         29 |        259 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/compras.go                             | Go                 |        290 |         60 |         51 |        401 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/cursos.go                              | Go                 |        893 |         80 |         86 |      1,059 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/diagnostic.go                          | Go                 |          8 |          0 |          3 |         11 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/email.go                               | Go                 |         38 |         11 |         12 |         61 |
| /home/MictDev/Projects/Capacitaciones-mh/gateway/internal/handler/examenes.go                            | Go                 |        322 |         13 |         34 |        369 |
